
Running all datasets 15 times, 60 seconds per run
Total time per dataset: 900 seconds

Processing dataset: ps6j2m-setup50_1.23_0.61_98871.txt

Run 1/15 for ps6j2m-setup50_1.23_0.61_98871.txt

Processing dataset: ps6j2m-setup50_1.23_0.61_98871.txt
Running for 60 seconds...
Time elapsed: 0.0s, Iteration: 100
Time elapsed: 0.0s, Iteration: 200
Time elapsed: 0.0s, Iteration: 300
Time elapsed: 0.0s, Iteration: 400
Time elapsed: 0.1s, Iteration: 500
Time elapsed: 0.1s, Iteration: 600
Time elapsed: 0.1s, Iteration: 700
Time elapsed: 0.1s, Iteration: 800
Time elapsed: 0.1s, Iteration: 900
Time elapsed: 0.1s, Iteration: 1000
Time elapsed: 0.1s, Iteration: 1100
Time elapsed: 0.1s, Iteration: 1200
Time elapsed: 0.1s, Iteration: 1300
Time elapsed: 0.2s, Iteration: 1400
Time elapsed: 0.2s, Iteration: 1500
Time elapsed: 0.2s, Iteration: 1600
Time elapsed: 0.2s, Iteration: 1700
Time elapsed: 0.2s, Iteration: 1800
Time elapsed: 0.2s, Iteration: 1900
Time elapsed: 0.2s, Iteration: 2000
Time elapsed: 0.2s, Iteration: 2100
Time elapsed: 0.2s, Iteration: 2200
Time elapsed: 0.3s, Iteration: 2300
Time elapsed: 0.3s, Iteration: 2400
Time elapsed: 0.3s, Iteration: 2500
Time elapsed: 0.3s, Iteration: 2600
Time elapsed: 0.3s, Iteration: 2700
Time elapsed: 0.3s, Iteration: 2800
Time elapsed: 0.3s, Iteration: 2900
Time elapsed: 0.3s, Iteration: 3000
Time elapsed: 0.4s, Iteration: 3100
Time elapsed: 0.4s, Iteration: 3200
Time elapsed: 0.4s, Iteration: 3300
Time elapsed: 0.4s, Iteration: 3400
Time elapsed: 0.4s, Iteration: 3500
Time elapsed: 0.4s, Iteration: 3600
Time elapsed: 0.4s, Iteration: 3700
Time elapsed: 0.4s, Iteration: 3800
Time elapsed: 0.4s, Iteration: 3900
Time elapsed: 0.5s, Iteration: 4000
Time elapsed: 0.5s, Iteration: 4100
Time elapsed: 0.5s, Iteration: 4200
Time elapsed: 0.5s, Iteration: 4300
Time elapsed: 0.5s, Iteration: 4400
Time elapsed: 0.5s, Iteration: 4500
Time elapsed: 0.5s, Iteration: 4600
Time elapsed: 0.5s, Iteration: 4700
Time elapsed: 0.5s, Iteration: 4800
Time elapsed: 0.6s, Iteration: 4900
Time elapsed: 0.6s, Iteration: 5000
Time elapsed: 0.6s, Iteration: 5100
Time elapsed: 0.6s, Iteration: 5200
Time elapsed: 0.6s, Iteration: 5300
Time elapsed: 0.6s, Iteration: 5400
Time elapsed: 0.6s, Iteration: 5500
Time elapsed: 0.6s, Iteration: 5600
Time elapsed: 0.6s, Iteration: 5700
Time elapsed: 0.7s, Iteration: 5800
Time elapsed: 0.7s, Iteration: 5900
Time elapsed: 0.7s, Iteration: 6000
Time elapsed: 0.7s, Iteration: 6100
Time elapsed: 0.7s, Iteration: 6200
Time elapsed: 0.7s, Iteration: 6300
Time elapsed: 0.7s, Iteration: 6400
Time elapsed: 0.7s, Iteration: 6500
Time elapsed: 0.7s, Iteration: 6600
Time elapsed: 0.8s, Iteration: 6700
Time elapsed: 0.8s, Iteration: 6800
Time elapsed: 0.8s, Iteration: 6900
Time elapsed: 0.8s, Iteration: 7000
Time elapsed: 0.8s, Iteration: 7100
Time elapsed: 0.8s, Iteration: 7200
